title,price_gbp,availability
A Light in the Attic,51.77,In stock
Tipping the Velvet,53.74,In stock
Soumission,50.1,In stock
Sharp Objects,47.82,In stock
Sapiens: A Brief History of Humankind,54.23,In stock
The Requiem Red,22.65,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock
The Black Maria,52.15,In stock
